make,origin_country
Alfa Romeo,🇮🇹
Audi,🇩🇪
Bentley,🇬🇧
BMW,🇩🇪
BYD,🇨🇳
Cadillac,🇺🇸
Chery,🇨🇳
Chevrolet,🇺🇸
Chrysler,🇺🇸
Citroen,🇫🇷
Cupra,🇪🇸
Dacia,🇷🇴
DAF,🇳🇱
Dodge,🇺🇸
Dongfeng,🇨🇳
Fiat,🇮🇹
Ford,🇺🇸
Great Wall,🇨🇳
Honda,🇯🇵
Hyundai,🇰🇷
Infiniti,🇯🇵
Irisbus,🇮🇹🇫🇷
Irizar,🇪🇸
Iveco,🇮🇹
Jaguar,🇬🇧
Jeep,🇺🇸
KGM,🇰🇷
Kia,🇰🇷
Knaus,🇩🇪
Lada,🇷🇺
Lamborghini,🇮🇹
Lancia,🇮🇹
Land Rover,🇬🇧
Lexus,🇯🇵
Liebherr,🇩🇪🇨🇭
Lincoln,🇺🇸
Lynk and Co,🇨🇳🇸🇪
MAN,🇩🇪
Maserati,🇮🇹
Maybach,🇩🇪
Mazda,🇯🇵
McLaren,🇬🇧
Mercedes,🇩🇪
MG,🇬🇧
Mini,🇬🇧
Mitsubishi,🇯🇵
Nissan,🇯🇵
Opel,🇩🇪
Ora,🇨🇳
Perodua,🇲🇾
Peugeot,🇫🇷
Polestar,🇸🇪
Porsche,🇩🇪
Proton,🇲🇾
Renault,🇫🇷
Rover,🇬🇧
Saab,🇸🇪
Scania,🇸🇪
Scion,🇺🇸
Seat,🇪🇸
Setra,🇩🇪
Skoda,🇨🇿
Smart,🇩🇪🇨🇭
Solaris,🇵🇱
Ssangyong,🇰🇷
Subaru,🇯🇵
Suzuki,🇯🇵
Tata,🇮🇳
Tesla,🇺🇸
Toyota,🇯🇵
Vauxhall,🇬🇧
VDL,🇳🇱
Volvo,🇸🇪
VW,🇩🇪
