make,model,generation,variation,powertrain_class
Alfa Romeo,156,Mk II (2003),Wagon,COMBUSTION
Alfa Romeo,159 ~ Brera ~ Spider,(2005) ~ (2005) ~ 939 (2007),,COMBUSTION
Alfa Romeo,Giulietta,940 (2010),,COMBUSTION
Alfa Romeo,GT,(2003),,COMBUSTION
Alfa Romeo,Stelvio,"949 (2016,2023)",,COMBUSTION
Audi,80,B3 (1986),,COMBUSTION
Audi,80,B4 (1991),Sedan,COMBUSTION
Audi,80,B4 (1991),,COMBUSTION
Audi,100,C4 (1989),Sedan,COMBUSTION
Audi,A1,"Mk I (2010,2015)",,COMBUSTION
Audi,A2,"8Z (1999,2004)",,COMBUSTION
Audi,A3,"8L (1996,2000)",,COMBUSTION
Audi,A3,"8P (2004,2008)",Hatchback,COMBUSTION
Audi,A3,"8P (2004,2008)",Wagon,COMBUSTION
Audi,A3,8P (2004),,COMBUSTION
Audi,A3,8P (2008),,COMBUSTION
Audi,A3,"8V (2012,2017)",Sedan,COMBUSTION
Audi,A3,8V (2012),,COMBUSTION
Audi,A3,8V (2017),,COMBUSTION
Audi,A3,8Y (2020),Base,COMBUSTION
Audi,A3,8Y (2020),Hatchback,COMBUSTION
Audi,A4,Allroad B8 (2012),,COMBUSTION
Audi,A4,B5 (1998),Sedan,COMBUSTION
Audi,A4,B5 (1998),Wagon,COMBUSTION
Audi,A4,B5 (1998),,COMBUSTION
Audi,A4,B6 (2001),Sedan,COMBUSTION
Audi,A4,B6 (2001),Wagon,COMBUSTION
Audi,A4,B7 (2004),Sedan,COMBUSTION
Audi,A4,B7 (2004),Wagon,COMBUSTION
Audi,A4,B7 (2004),,COMBUSTION
Audi,A4,"B8 (2008,2012) ~ B8 Allroad (2009,2012)",Wagon,COMBUSTION
Audi,A4,B8 (2008),Sedan,COMBUSTION
Audi,A4,B8 (2008),,COMBUSTION
Audi,A4,B8 (2012),,COMBUSTION
Audi,A4,B9 (2017),Sedan,COMBUSTION
Audi,A4,B9 (2017),,COMBUSTION
Audi,A4,B9 (2017) ~ B9 Allroad (2017),Wagon,COMBUSTION
